LOUISIANA STATE LEGISLATIVE DISTRICTS UPPER BY CENSUS TRACT,,,
State,Tract,Parish,StateLegislativeDistrictsUpper
22,40401,63,13
22,40402,63,13
22,40500,63,13
22,40500,93,2
22,40500,101,21
22,40501,103,11
22,40502,103,11
22,40502,103,12
22,40600,63,13
22,40600,93,2
22,40600,101,21
22,40601,103,11
22,40602,103,11
22,40604,103,11
22,40605,103,11
22,40700,63,13
22,40700,93,2
22,40700,101,21
22,40701,103,1
22,40701,103,11
22,40704,103,1
22,40705,103,1
22,40706,103,1
22,40708,103,1
22,40709,103,1
22,40710,103,1
22,40800,101,21
22,40801,103,1
22,40802,63,13
22,40802,63,18
22,40802,103,1
22,40803,103,1
22,40804,63,13
22,40804,63,18
22,40805,63,13
22,40806,63,13
22,40806,63,18
22,40900,101,21
22,40900,103,1
22,40901,63,13
22,40901,63,18
22,40902,63,18
22,41000,101,21
22,41002,103,1
22,41003,103,1
22,41004,103,1
22,41100,101,21
22,41101,103,1
22,41102,103,1
22,41103,103,1
22,41104,103,1
22,41200,101,21
22,41202,103,1
22,41202,103,11
22,41204,103,1
22,41204,103,11
22,41207,103,11
22,41208,103,11
22,41209,103,11
22,41210,103,11
22,41211,103,11
22,41212,103,11
22,41300,101,21
22,41300,103,11
22,41400,101,21
22,41500,101,21
22,41600,101,21
22,50100,7,2
22,50100,7,17
22,50100,75,1
22,50200,7,17
22,50200,75,7
22,50300,7,2
22,50300,7,17
22,50300,75,7
22,50400,7,2
22,50400,7,17
22,50400,75,7
22,50400,75,8
22,50500,7,2
22,50500,7,17
22,50500,75,8
22,50600,7,17
22,50600,75,8
22,50700,75,8
22,50800,75,8
22,60100,89,19
22,62100,89,19
22,62200,89,19
22,62301,89,19
22,62302,89,19
22,62400,89,19
22,62500,89,19
22,62700,89,2
22,62700,89,19
22,62800,89,19
22,62900,89,19
22,63000,89,19
22,63100,89,19
22,63200,89,2
22,63200,89,19
22,70100,95,2
22,70100,95,19
22,70200,95,19
22,70300,95,19
22,70400,95,19
22,70500,95,2
22,70500,95,19
22,70600,95,2
22,70700,95,2
22,70800,95,2
22,70900,95,2
22,70900,95,19
22,71000,95,2
22,71000,95,19
22,71100,95,2
22,71100,95,19
22,950100,3,28
22,950100,27,33
22,950100,27,36
22,950100,31,38
22,950100,39,28
22,950100,41,32
22,950100,67,33
22,950100,113,26
22,950100,115,30
22,950101,117,12
22,950102,117,12
22,950200,3,28
22,950200,27,33
22,950200,27,36
22,950200,31,38
22,950200,39,28
22,950200,41,32
22,950200,67,33
22,950200,67,34
22,950200,113,26
22,950200,115,30
22,950200,117,12
22,950300,3,28
22,950300,27,33
22,950300,27,36
22,950300,31,38
22,950300,39,28
22,950300,41,32
22,950300,67,33
22,950300,115,30
22,950300,117,12
22,950400,3,28
22,950400,27,33
22,950400,31,38
22,950400,39,28
22,950400,41,32
22,950400,67,33
22,950400,67,34
22,950400,113,26
22,950400,115,30
22,950400,117,12
22,950500,3,28
22,950500,27,33
22,950500,27,36
22,950500,31,38
22,950500,39,28
22,950500,41,32
22,950500,67,33
22,950500,67,34
22,950500,113,26
22,950500,115,30
22,950500,117,12
22,950600,31,38
22,950600,39,28
22,950600,41,32
22,950600,67,33
22,950600,67,34
22,950600,113,26
22,950600,115,30
22,950600,117,12
22,950700,31,38
22,950700,39,28
22,950700,67,33
22,950700,67,34
22,950700,113,26
22,950700,117,12
22,950701,115,30
22,950702,115,30
22,950703,115,30
22,950704,115,30
22,950800,39,28
22,950800,67,33
22,950800,67,34
22,950800,113,26
22,950800,115,30
22,950800,117,12
22,950900,115,30
22,950900,117,12
22,950901,113,26
22,950902,113,26
22,951000,117,12
22,951001,113,26
22,951002,113,26
22,951100,91,17
22,951100,113,26
22,951200,91,6
22,951200,91,17
22,951300,37,17
22,951400,37,17
22,951501,37,17
22,951502,37,17
22,951600,37,17
22,951701,125,32
22,951702,125,32
22,951800,125,17
22,951800,125,32
22,951900,77,17
22,952000,77,17
22,952100,77,17
22,952200,77,17
22,952300,77,17
22,952400,77,17
22,952600,47,17
22,952700,47,2
22,952700,47,17
22,952900,47,2
22,952900,47,17
22,953000,47,2
22,953000,47,17
22,953101,47,17
22,953102,47,2
22,953102,47,17
22,953200,47,2
22,953200,105,12
22,953300,105,12
22,953400,105,12
22,953500,105,12
22,953600,105,12
22,953700,105,11
22,953700,105,12
22,953800,105,6
22,953800,105,12
22,953900,105,6
22,953900,105,12
22,954001,105,6
22,954001,105,12
22,954002,105,11
22,954002,105,12
22,954101,105,6
22,954102,105,6
22,954102,105,13
22,954200,105,6
22,954200,105,12
22,954300,105,6
22,954300,105,11
22,954400,105,6
22,954400,105,11
22,954400,105,12
22,954501,105,6
22,954501,105,11
22,954502,105,6
22,954502,105,11
22,954600,105,6
22,954600,105,11
22,954700,105,6
22,954700,105,13
22,954800,105,6
22,960100,1,26
22,960100,11,30
22,960100,61,33
22,960100,61,35
22,960100,65,34
22,960100,81,31
22,960100,97,24
22,960100,111,33
22,960100,127,29
22,960100,127,35
22,960200,1,25
22,960200,1,26
22,960200,1,28
22,960200,11,30
22,960200,61,29
22,960200,61,33
22,960200,61,35
22,960200,65,34
22,960200,97,24
22,960200,97,28
22,960200,111,33
22,960200,127,29
22,960200,127,31
22,960300,1,25
22,960300,1,28
22,960300,11,30
22,960300,61,29
22,960300,61,35
22,960300,65,34
22,960300,81,31
22,960300,97,22
22,960300,97,24
22,960300,111,33
22,960300,127,29
22,960300,127,31
22,960400,1,25
22,960400,11,30
22,960400,61,29
22,960400,61,35
22,960400,65,34
22,960400,97,22
22,960400,97,24
22,960400,111,33
22,960400,127,29
22,960400,127,31
22,960500,1,25
22,960500,1,26
22,960500,11,30
22,960500,61,35
22,960500,65,34
22,960500,97,22
22,960500,97,24
22,960500,111,33
22,960600,1,26
22,960600,11,30
22,960600,61,29
22,960600,61,35
22,960600,97,24
22,960600,97,28
22,960600,111,33
22,960700,1,26
22,960700,11,30
22,960700,61,33
22,960700,61,35
22,960700,97,24
22,960700,97,26
22,960700,97,28
22,960800,1,25
22,960800,1,26
22,960800,61,29
22,960800,61,35
22,960800,97,24
22,960800,97,28
22,960900,1,25
22,960900,61,29
22,960900,61,35
22,960900,97,24
22,960900,97,28
22,961000,1,25
22,961000,61,29
22,961000,61,35
22,961000,97,28
22,961100,1,25
22,961100,97,28
22,961200,1,25
22,961200,1,26
22,961200,97,24
22,961200,97,26
22,961200,97,28
22,961300,97,24
22,961400,97,24
22,961500,97,24
22,961600,97,24
22,961700,97,24
22,961700,97,26
22,961800,97,24
22,961800,97,26
22,961900,97,24
22,961900,97,26
22,970100,13,29
22,970100,23,25
22,970100,49,35
22,970100,59,32
22,970100,83,34
22,970200,13,29
22,970200,13,36
22,970200,49,29
22,970200,49,35
22,970200,59,32
22,970200,83,34
22,970201,23,25
22,970300,13,36
22,970300,49,29
22,970300,49,35
22,970300,59,32
22,970300,83,34
22,970400,13,36
22,970400,49,29
22,970400,49,35
22,970400,83,32
22,970400,83,34
22,970500,13,29
22,970500,13,36
22,970500,49,29
22,970500,49,35
22,970500,83,34
22,970600,83,32
22,970600,83,34
22,980000,17,39
22,980000,19,25
22,980000,19,27
22,980000,33,15
22,980000,51,10
22,980000,51,19
22,980000,55,23
22,980000,71,4
22,980000,73,34
22,980000,79,29
22,980100,19,25
22,980100,71,1
22,980100,71,3
22,990000,23,25
22,990000,45,22
22,990000,57,20
22,990000,75,1
22,990000,75,8
22,990000,87,1
22,990000,101,21
22,990000,109,20
22,990000,113,26
22,990100,51,8
