LOUISIANA CONGRESSIONAL DISTRICTS BY CENSUS TRACT,,,
State,Tract,Parish,CongressionalDistrict
22,954002,105,5
22,954101,105,1
22,954102,105,1
22,954200,105,1
22,954300,105,1
22,954400,105,1
22,954501,105,1
22,954502,105,1
22,954600,105,1
22,954700,105,1
22,954800,105,1
22,960100,1,3
22,960100,11,4
22,960100,61,5
22,960100,65,5
22,960100,81,4
22,960100,97,4
22,960100,97,5
22,960100,111,4
22,960100,127,5
22,960200,1,3
22,960200,11,4
22,960200,61,5
22,960200,65,5
22,960200,97,4
22,960200,97,5
22,960200,111,4
22,960200,127,5
22,960300,1,3
22,960300,11,4
22,960300,61,5
22,960300,65,5
22,960300,81,4
22,960300,97,5
22,960300,111,4
22,960300,127,5
22,960400,1,3
22,960400,11,4
22,960400,61,5
22,960400,65,5
22,960400,97,5
22,960400,111,4
22,960400,127,5
22,960500,1,3
22,960500,11,4
22,960500,61,5
22,960500,65,5
22,960500,97,3
22,960500,97,5
22,960500,111,4
22,960600,1,3
22,960600,11,4
22,960600,61,5
22,960600,97,4
22,960600,97,5
22,960600,111,4
22,960700,1,3
22,960700,11,4
22,960700,61,5
22,960700,97,4
22,960800,1,3
22,960800,61,5
22,960800,97,4
22,960900,1,3
22,960900,61,5
22,960900,97,4
22,961000,1,3
22,961000,61,5
22,961000,97,4
22,961100,1,3
22,961100,97,4
22,961200,1,3
22,961200,97,4
22,961200,97,5
22,961300,97,4
22,961300,97,5
22,961400,97,5
22,961500,97,5
22,961600,97,4
22,961600,97,5
22,961700,97,4
22,961700,97,5
22,961800,97,3
22,961800,97,4
22,961800,97,5
22,961900,97,4
22,970100,13,4
22,970100,23,3
22,970100,49,5
22,970100,59,5
22,970100,83,5
22,970200,13,4
22,970200,49,5
22,970200,59,5
22,970200,83,5
22,970201,23,3
22,970300,13,4
22,970300,49,5
22,970300,59,5
22,970300,83,5
22,970400,13,4
22,970400,49,5
22,970400,83,5
22,970500,13,4
22,970500,49,5
22,970500,83,5
22,970600,83,5
22,980000,17,4
22,980000,19,3
22,980000,33,2
22,980000,51,2
22,980000,55,3
22,980000,71,1
22,980000,71,2
22,980000,73,5
22,980000,79,5
22,980100,19,3
22,980100,71,2
22,990000,23,3
22,990000,45,3
22,990000,51,1
22,990000,57,1
22,990000,71,1
22,990000,75,1
22,990000,87,1
22,990000,101,3
22,990000,103,1
22,990000,109,1
22,990000,113,3
22,990100,51,1
